human
Enzyme	Number of Fragments	Fragment Sizes
AatII	3	58 8056 8455 
MfeI	6	241 628 1142 2021 3848 8689 
Acc65I	4	81 441 2572 13475 
MluI	1	16569 
MscI	6	320 534 952 2993 4037 7733 
AclI	3	2648 3417 10504 
AatII	3	58 8056 8455 
MfeI	6	241 628 1142 2021 3848 8689 
Acc65I	4	81 441 2572 13475 
MluI	1	16569 
MscI	6	320 534 952 2993 4037 7733 
AclI	3	2648 3417 10504 
AfeI	2	4528 12041 
NaeI	2	929 15640 
AflII	2	1404 15165 
NarI	3	144 1568 14857 
AgeI	1	16569 
NcoI	5	205 1341 3310 4182 7531 
ApaI	6	115 1016 1461 2965 3822 7190 
NdeI	4	315 3727 5850 6677 
ApaLI	2	1585 14984 
NgoMIV	2	929 15640 
NheI	2	4579 11990 
AscI	1	16569 
NotI	1	16569 
AseI	11	4 210 284 920 1725 1788 2106 2116 2339 2530 2547 
NruI	1	16569 
AsiSI	1	16569 
NsiI	4	44 1152 6040 9333 
AvrII	13	123 177 429 675 762 768 1077 1187 1549 1642 2552 2701 2927 
BamHI	2	2312 14257 
PacI	5	4 207 1787 5425 9146 
BclI	5	934 3330 3657 3999 4649 
PciI	2	2555 14014 
BglII	1	16569 
PmeI	2	6156 10413 
PmlI	1	16569 
BmtI	2	4579 11990 
PsiI	6	489 1805 2195 2576 4502 5002 
PspOMI	6	115 1016 1461 2965 3822 7190 
PstI	3	2110 6909 7550 
BsiWI	2	7573 8996 
PvuI	1	16569 
BspEI	4	516 1977 4709 9367 
PvuII	2	2649 13920 
BspHI	6	342 415 3474 3651 3837 4850 
SacI	3	35 6927 9607 
BsrGI	1	16569 
SacII	3	896 1672 14001 
BssHII	1	16569 
SalI	1	16569 
BstBI	8	82 1214 1546 1664 2280 2493 3167 4123 
SbfI	1	16569 
BstZ17I	4	728 1502 5925 8414 
ScaI	6	12 575 1159 1701 5112 8010 
ClaI	2	1213 15356 
SfoI	3	144 1568 14857 
DraI	5	562 1854 2046 3739 8368 
SmaI	1	16569 
EagI	2	2565 14004 
EcoRI	4	1153 3930 4120 7366 
SnaBI	2	5836 10733 
EcoRV	4	3178 3555 3699 6137 
SpeI	10	42 132 207 497 1083 1259 2222 2593 3923 4611 
FseI	1	16569 
SphI	2	2435 14134 
FspI	1	16569 
SspI	12	105 150 174 428 451 613 681 1148 1429 1854 2413 7123 
StuI	13	96 461 611 663 770 956 973 978 1090 1524 2171 2735 3541 
SwaI	1	16569 
HindIII	4	890 4000 5477 6202 
XbaI	6	846 1192 1760 1970 4487 6314 
HpaI	4	2392 4164 4323 5690 
XhoI	2	1615 14954 
KasI	3	144 1568 14857 
XmaI	1	16569 
KpnI	4	81 441 2572 13475 
