Lambda_NEB
Enzyme	Number of Fragments	Fragment Sizes
AatII	11	29 307 1134 1849 2911 3316 3731 4289 5104 11770 14062 
MfeI	9	28 339 623 1146 1422 2809 9548 9901 22686 
Acc65I	3	1503 17052 29947 
MluI	8	457 956 1268 2205 2419 5090 9824 26283 
MscI	19	78 168 381 394 707 803 880 933 969 1054 1325 1750 1995 2303 3157 5363 6357 7422 12463 
AclI	8	15 96 2047 2761 5015 6290 13528 18750 
AatII	11	29 307 1134 1849 2911 3316 3731 4289 5104 11770 14062 
MfeI	9	28 339 623 1146 1422 2809 9548 9901 22686 
Acc65I	3	1503 17052 29947 
MluI	8	457 956 1268 2205 2419 5090 9824 26283 
MscI	19	78 168 381 394 707 803 880 933 969 1054 1325 1750 1995 2303 3157 5363 6357 7422 12463 
AclI	8	15 96 2047 2761 5015 6290 13528 18750 
AfeI	3	11446 16062 20994 
NaeI	2	20039 28463 
AflII	4	5873 6078 6539 30012 
NarI	2	2824 45678 
AgeI	14	71 149 179 332 385 1682 2137 2384 3989 4729 6040 8051 8627 9747 
NcoI	5	3967 4255 4572 16380 19328 
ApaI	2	10085 38417 
NdeI	8	556 1689 1774 2253 2433 3796 8372 27629 
ApaLI	5	5375 5618 8287 13043 16179 
NgoMIV	2	20039 28463 
NheI	2	13824 34678 
AscI	3	3520 13127 31855 
NotI	1	48502 
AseI	18	65 126 440 445 514 609 886 1294 1525 1588 1776 2602 2998 3417 3417 3602 7135 16063 
NruI	6	704 3653 4589 6695 9401 23460 
AsiSI	1	48502 
NsiI	15	6 166 526 538 647 715 797 1060 1098 1660 1910 1978 10196 10324 16881 
AvrII	3	74 24107 24321 
BamHI	6	5504 5626 6527 6771 7233 16841 
PacI	1	48502 
BclI	9	517 561 1576 2684 4459 4623 6330 8843 18909 
PciI	3	627 9108 38767 
BglII	7	60 414 651 2392 9689 13286 22010 
PmeI	3	7834 8458 32210 
PmlI	4	880 6141 14953 26528 
BmtI	2	13824 34678 
PsiI	13	158 632 805 1752 2274 2284 2441 2653 3580 4520 6726 9930 10747 
PspOMI	2	10085 38417 
PstI	29	15 72 87 94 150 164 200 211 216 247 264 339 448 468 514 805 1093 1159 1700 1986 2140 2443 2459 2555 2838 4507 4749 5077 11502 
BsiWI	2	19322 29180 
PvuI	4	9533 11932 12716 14321 
BspEI	25	12 74 609 622 710 720 771 793 917 972 1100 1216 1590 1668 1757 1796 1885 2145 2234 2499 2568 3561 4552 5229 8502 
PvuII	16	63 141 208 343 468 532 579 636 1708 2296 3638 3916 4194 4268 4421 21091 
BspHI	9	339 888 2748 3761 5260 7861 8026 9034 10585 
SacI	3	1105 22626 24771 
BsrGI	6	922 3104 5219 9713 13537 16007 
SacII	5	210 1076 8117 18780 20319 
BssHII	7	604 1501 1834 3521 9188 11359 20495 
SalI	3	499 15259 32744 
BstBI	8	1170 1246 2096 3935 5866 7836 8306 18047 
SbfI	6	264 2554 7998 9015 11503 17168 
BstZ17I	4	639 3574 15259 29030 
ScaI	6	1578 2263 5539 7001 15701 16420 
ClaI	16	354 537 621 657 973 1112 1701 1804 1915 2065 2614 3673 4197 4398 10496 11385 
SfoI	2	2824 45678 
DraI	14	89 174 228 533 696 1074 2152 2303 3599 6038 6816 7834 8370 8596 
SmaI	4	8271 8615 12220 19396 
EagI	3	11849 16710 19943 
EcoRI	6	3531 4878 5643 5804 7421 21225 
SnaBI	2	12187 36315 
EcoRV	22	13 35 268 588 618 649 655 738 1377 1403 1434 1679 1921 2677 2884 3595 3744 3873 4597 4613 5376 5765 
SpeI	1	48502 
FseI	1	48502 
SphI	7	429 2211 3003 9085 9790 11940 12044 
FspI	16	21 127 462 885 1665 1767 1824 2040 2138 2691 4584 4734 5759 6123 6123 7559 
SspI	21	100 135 137 150 210 367 438 476 511 671 689 810 920 1431 2841 2931 3582 3973 4056 8468 15606 
StuI	7	18 604 1519 6995 7889 12433 19044 
SwaI	1	48502 
HindIII	8	125 564 2027 2322 4362 6557 9416 23129 
XbaI	2	23995 24507 
HpaI	15	228 251 410 441 731 2240 3042 3384 3408 4347 4491 4535 5414 6911 8669 
XhoI	2	15005 33497 
KasI	2	2824 45678 
XmaI	4	8271 8615 12220 19396 
KpnI	3	1503 17052 29947 
