neanderthalensis
Enzyme	Number of Fragments	Fragment Sizes
AatII	3	58 8051 8456 
MfeI	5	628 1142 2258 3847 8690 
Acc65I	3	523 2568 13474 
MluI	1	16565 
MscI	6	320 534 952 2988 4037 7734 
AclI	3	2648 3412 10505 
AatII	3	58 8051 8456 
MfeI	5	628 1142 2258 3847 8690 
Acc65I	3	523 2568 13474 
MluI	1	16565 
MscI	6	320 534 952 2988 4037 7734 
AclI	3	2648 3412 10505 
AfeI	1	16565 
NaeI	3	925 5330 10310 
AflII	1	16565 
NarI	3	144 1569 14852 
AgeI	1	16565 
NcoI	5	205 1341 3305 4182 7532 
ApaI	6	115 1016 1457 2964 3822 7191 
NdeI	3	3722 5851 6992 
ApaLI	3	72 1509 14984 
NgoMIV	3	925 5330 10310 
NheI	2	4574 11991 
AscI	1	16565 
NotI	1	16565 
AseI	12	4 210 284 893 920 1654 1724 1789 2106 2116 2339 2526 
NruI	1	16565 
AsiSI	1	16565 
NsiI	4	44 1152 6035 9334 
AvrII	13	123 177 429 674 762 768 1078 1187 1549 1642 2552 2701 2923 
BamHI	2	2313 14252 
PacI	5	4 207 1788 5420 9146 
BclI	6	173 934 3330 3652 3999 4477 
PciI	2	2551 14014 
BglII	1	16565 
PmeI	3	4305 6103 6157 
PmlI	1	16565 
BmtI	2	4574 11991 
PsiI	5	489 1801 2194 5003 7078 
PspOMI	6	115 1016 1457 2964 3822 7191 
PstI	4	420 2110 6904 7131 
BsiWI	2	7574 8991 
PvuI	1	16565 
BspEI	4	516 1977 4704 9368 
PvuII	3	257 2388 13920 
BspHI	6	342 415 3474 3652 3832 4850 
SacI	3	35 6928 9602 
BsrGI	2	447 16118 
SacII	3	892 1672 14001 
BssHII	1	16565 
SalI	1	16565 
BstBI	9	82 159 1214 1546 1664 2280 2334 3168 4118 
SbfI	1	16565 
BstZ17I	5	412 728 1086 5924 8415 
ScaI	5	575 1159 1701 5125 8005 
ClaI	2	1209 15356 
SfoI	3	144 1569 14852 
DraI	6	563 1854 2042 2264 3739 6103 
SmaI	1	16565 
EagI	2	2561 14004 
EcoRI	4	1153 3931 4115 7366 
SnaBI	2	5837 10728 
EcoRV	5	296 3173 3404 3555 6137 
SpeI	10	42 132 207 497 1083 1259 2222 2593 3918 4612 
FseI	1	16565 
SphI	2	2431 14134 
FspI	1	16565 
SspI	12	105 150 174 428 452 613 681 1148 1429 1854 2413 7118 
StuI	11	461 866 972 978 1090 1251 1525 1619 2167 2290 3346 
SwaI	1	16565 
HindIII	4	890 4001 5477 6197 
XbaI	5	846 1188 1760 4486 8285 
HpaI	4	2099 3586 4323 6557 
XhoI	2	1616 14949 
KasI	3	144 1569 14852 
XmaI	1	16565 
KpnI	3	523 2568 13474 
